Associated Business - Associated Business Insolvency,Associated Business - HM Court Data,Associated Business - Charges on other businesses,Business - Director resignations,Business - Accounts Overdue,Business - Incorporation Date,Business - Adverse SIC Code,Director - Director bankruptcy,Director - Director disqualifications,Director - Director country of residence,Director - Director nationality,Director - Director average age,Director - Director Personal Insolvency,Psc - UBO nationality,Psc - UBO is overseas company?,Psc - Recent ownership changes,Financials - Negative Audit report,Financials - Negative Balance Sheet,Financials - Estimated Losses,Financials - Substantial Debts
11678014,,09336837,,,,,,,,,,10904674,,,,,,,10120255
02913195,,SC203818,,,,,,,,,,05678130,,,,,,,10733517
06621854,,09136477,,,,,,,,,,,,,,,,,09550454
11456870,,08116039,,,,,,,,,,,,,,,,,SC428447
13095115,,11132101,,,,,,,,,,,,,,,,,SC308592
03380944,,06920954,,,,,,,,,,,,,,,,,09616314
10904674,,09737449,,,,,,,,,,,,,,,,,11210639
11053318,,04848835,,,,,,,,,,,,,,,,,04906700
,,11131189,,,,,,,,,,,,,,,,,07310349
,,05911740,,,,,,,,,,,,,,,,,09336837
,,10399030,,,,,,,,,,,,,,,,,09136477
,,08574199,,,,,,,,,,,,,,,,,08116039
,,08347506,,,,,,,,,,,,,,,,,11132101
,,09172336,,,,,,,,,,,,,,,,,06920954
,,04457732,,,,,,,,,,,,,,,,,10441111
,,08588888,,,,,,,,,,,,,,,,,09737449
,,08659637,,,,,,,,,,,,,,,,,12400618
,,10413560,,,,,,,,,,,,,,,,,04848835
,,08612183,,,,,,,,,,,,,,,,,10225928
,,04238843,,,,,,,,,,,,,,,,,09599024
,,SC612143,,,,,,,,,,,,,,,,,11131189
,,03982767,,,,,,,,,,,,,,,,,08596549
,,08427781,,,,,,,,,,,,,,,,,05911740
,,SC504162,,,,,,,,,,,,,,,,,05521057
,,04311124,,,,,,,,,,,,,,,,,04948758
,,SC675262,,,,,,,,,,,,,,,,,07742322
,,00517311,,,,,,,,,,,,,,,,,08245947
,,03457906,,,,,,,,,,,,,,,,,10399030
,,04993162,,,,,,,,,,,,,,,,,10396380
,,07268589,,,,,,,,,,,,,,,,,08574199
,,01555323,,,,,,,,,,,,,,,,,04934181
,,08617387,,,,,,,,,,,,,,,,,12274061
,,11487863,,,,,,,,,,,,,,,,,09172336
,,04573385,,,,,,,,,,,,,,,,,11643725
,,SC362966,,,,,,,,,,,,,,,,,04669704
,,08720723,,,,,,,,,,,,,,,,,06713360
,,03488384,,,,,,,,,,,,,,,,,10020954
,,06233180,,,,,,,,,,,,,,,,,07159152
,,00881861,,,,,,,,,,,,,,,,,08822385
,,05741917,,,,,,,,,,,,,,,,,10413560
,,01746847,,,,,,,,,,,,,,,,,08612183
,,09947535,,,,,,,,,,,,,,,,,04238843
,,11465251,,,,,,,,,,,,,,,,,04316512
,,05266207,,,,,,,,,,,,,,,,,06818928
,,12400561,,,,,,,,,,,,,,,,,03982767
,,01261412,,,,,,,,,,,,,,,,,10451135
,,04790833,,,,,,,,,,,,,,,,,08427781
,,06764985,,,,,,,,,,,,,,,,,07722781
,,03140542,,,,,,,,,,,,,,,,,11961952
,,11007348,,,,,,,,,,,,,,,,,SC504162
,,07005883,,,,,,,,,,,,,,,,,04311124
,,04905427,,,,,,,,,,,,,,,,,10456621
,,01255640,,,,,,,,,,,,,,,,,00517311
,,09937141,,,,,,,,,,,,,,,,,04410612
,,04371002,,,,,,,,,,,,,,,,,03457906
,,02686716,,,,,,,,,,,,,,,,,04993162
,,10253758,,,,,,,,,,,,,,,,,07268589
,,04806233,,,,,,,,,,,,,,,,,01555323
,,05133699,,,,,,,,,,,,,,,,,SC524149
,,07173069,,,,,,,,,,,,,,,,,08617387
,,06703222,,,,,,,,,,,,,,,,,11836729
,,04690332,,,,,,,,,,,,,,,,,11487863
,,SC596606,,,,,,,,,,,,,,,,,04573385
,,05630923,,,,,,,,,,,,,,,,,10156839
,,00663736,,,,,,,,,,,,,,,,,07283756
,,07171714,,,,,,,,,,,,,,,,,10627257
,,02586361,,,,,,,,,,,,,,,,,SC362966
,,05849858,,,,,,,,,,,,,,,,,08720723
,,07148857,,,,,,,,,,,,,,,,,10546135
,,05144497,,,,,,,,,,,,,,,,,07257842
,,09512041,,,,,,,,,,,,,,,,,03488384
,,07703452,,,,,,,,,,,,,,,,,06854970
,,SC244830,,,,,,,,,,,,,,,,,06233180
,,10420782,,,,,,,,,,,,,,,,,00881861
,,11007239,,,,,,,,,,,,,,,,,05741917
,,11795152,,,,,,,,,,,,,,,,,01746847
,,04054805,,,,,,,,,,,,,,,,,09947535
,,09216728,,,,,,,,,,,,,,,,,11465251
,,SC245803,,,,,,,,,,,,,,,,,05266207
,,05312749,,,,,,,,,,,,,,,,,06676382
,,07235474,,,,,,,,,,,,,,,,,12400561
,,07712318,,,,,,,,,,,,,,,,,01261412
,,04801939,,,,,,,,,,,,,,,,,04790833
,,09418463,,,,,,,,,,,,,,,,,06764985
,,09863849,,,,,,,,,,,,,,,,,03140542
,,05451329,,,,,,,,,,,,,,,,,11007348
,,01430146,,,,,,,,,,,,,,,,,11879680
,,04528745,,,,,,,,,,,,,,,,,07005883
,,SC261031,,,,,,,,,,,,,,,,,08244070
,,01945550,,,,,,,,,,,,,,,,,04905427
,,06623570,,,,,,,,,,,,,,,,,01255640
,,03412866,,,,,,,,,,,,,,,,,10816461
,,06533522,,,,,,,,,,,,,,,,,10245373
,,11523041,,,,,,,,,,,,,,,,,09937141
,,06913377,,,,,,,,,,,,,,,,,04371002
,,01908352,,,,,,,,,,,,,,,,,02686716
,,07729602,,,,,,,,,,,,,,,,,11989176
,,08464712,,,,,,,,,,,,,,,,,10253758
,,05471903,,,,,,,,,,,,,,,,,04806233
,,01617954,,,,,,,,,,,,,,,,,05133699
,,OC369761,,,,,,,,,,,,,,,,,07173069
,,03795595,,,,,,,,,,,,,,,,,08925070
,,02981527,,,,,,,,,,,,,,,,,06703222
,,08561630,,,,,,,,,,,,,,,,,07491590
,,11550790,,,,,,,,,,,,,,,,,07825365
,,03348743,,,,,,,,,,,,,,,,,04690332
,,08038880,,,,,,,,,,,,,,,,,09646624
,,05707911,,,,,,,,,,,,,,,,,SC596606
,,02950201,,,,,,,,,,,,,,,,,10544937
,,01977248,,,,,,,,,,,,,,,,,09051461
,,03779704,,,,,,,,,,,,,,,,,11241187
,,07400497,,,,,,,,,,,,,,,,,05630923
,,01135015,,,,,,,,,,,,,,,,,05273104
,,07445563,,,,,,,,,,,,,,,,,11759232
,,08043243,,,,,,,,,,,,,,,,,SC344441
,,02107371,,,,,,,,,,,,,,,,,10624589
,,05998399,,,,,,,,,,,,,,,,,11807156
,,02997697,,,,,,,,,,,,,,,,,06393497
,,11653968,,,,,,,,,,,,,,,,,07171714
,,07438471,,,,,,,,,,,,,,,,,06344510
,,05903085,,,,,,,,,,,,,,,,,SC541106
,,01971735,,,,,,,,,,,,,,,,,02586361
,,01422905,,,,,,,,,,,,,,,,,11105797
,,00237293,,,,,,,,,,,,,,,,,10015779
,,01336855,,,,,,,,,,,,,,,,,05849858
,,04545791,,,,,,,,,,,,,,,,,05941100
,,07232405,,,,,,,,,,,,,,,,,10053079
,,04950090,,,,,,,,,,,,,,,,,10066356
,,12818062,,,,,,,,,,,,,,,,,07148857
,,11632459,,,,,,,,,,,,,,,,,09598990
,,06623358,,,,,,,,,,,,,,,,,05144497
,,03368517,,,,,,,,,,,,,,,,,09512041
,,03316595,,,,,,,,,,,,,,,,,07703452
,,04307310,,,,,,,,,,,,,,,,,SC244830
,,03333300,,,,,,,,,,,,,,,,,10420782
,,06564547,,,,,,,,,,,,,,,,,08744046
,,07064953,,,,,,,,,,,,,,,,,11007239
,,04755466,,,,,,,,,,,,,,,,,11795152
,,SC491766,,,,,,,,,,,,,,,,,09720289
,,03769338,,,,,,,,,,,,,,,,,04054805
,,01537169,,,,,,,,,,,,,,,,,09216728
,,03402844,,,,,,,,,,,,,,,,,10161245
,,07372814,,,,,,,,,,,,,,,,,10293635
,,04101455,,,,,,,,,,,,,,,,,07284874
,,SC092731,,,,,,,,,,,,,,,,,10761384
,,03713667,,,,,,,,,,,,,,,,,07610236
,,07414875,,,,,,,,,,,,,,,,,05312749
,,07858445,,,,,,,,,,,,,,,,,13221479
,,11678014,,,,,,,,,,,,,,,,,07712318
,,02913195,,,,,,,,,,,,,,,,,06126480
,,NI650965,,,,,,,,,,,,,,,,,10325420
,,06621854,,,,,,,,,,,,,,,,,01430146
,,11456870,,,,,,,,,,,,,,,,,11109688
,,13095115,,,,,,,,,,,,,,,,,06533522
,,03310108,,,,,,,,,,,,,,,,,11523041
,,03380944,,,,,,,,,,,,,,,,,06913377
,,05678130,,,,,,,,,,,,,,,,,07729602
,,11050528,,,,,,,,,,,,,,,,,05471903
,,10807317,,,,,,,,,,,,,,,,,01617954
,,05669656,,,,,,,,,,,,,,,,,03795595
,,,,,,,,,,,,,,,,,,,08561630
,,,,,,,,,,,,,,,,,,,11550790
,,,,,,,,,,,,,,,,,,,03348743
,,,,,,,,,,,,,,,,,,,08038880
,,,,,,,,,,,,,,,,,,,02950201
,,,,,,,,,,,,,,,,,,,01977248
,,,,,,,,,,,,,,,,,,,07400497
,,,,,,,,,,,,,,,,,,,01135015
,,,,,,,,,,,,,,,,,,,07445563
,,,,,,,,,,,,,,,,,,,05998399
,,,,,,,,,,,,,,,,,,,11653968
,,,,,,,,,,,,,,,,,,,11952772
,,,,,,,,,,,,,,,,,,,11413937
,,,,,,,,,,,,,,,,,,,11330081
,,,,,,,,,,,,,,,,,,,12142438
,,,,,,,,,,,,,,,,,,,07438471
,,,,,,,,,,,,,,,,,,,05903085
,,,,,,,,,,,,,,,,,,,01971735
,,,,,,,,,,,,,,,,,,,01422905
,,,,,,,,,,,,,,,,,,,03526455
,,,,,,,,,,,,,,,,,,,00237293
,,,,,,,,,,,,,,,,,,,08015005
,,,,,,,,,,,,,,,,,,,06885135
,,,,,,,,,,,,,,,,,,,07232405
,,,,,,,,,,,,,,,,,,,05363700
,,,,,,,,,,,,,,,,,,,09482863
,,,,,,,,,,,,,,,,,,,05614940
,,,,,,,,,,,,,,,,,,,04950090
,,,,,,,,,,,,,,,,,,,12235772
,,,,,,,,,,,,,,,,,,,05036668
,,,,,,,,,,,,,,,,,,,06623358
,,,,,,,,,,,,,,,,,,,SC446596
,,,,,,,,,,,,,,,,,,,03368517
,,,,,,,,,,,,,,,,,,,03316595
,,,,,,,,,,,,,,,,,,,04307310
,,,,,,,,,,,,,,,,,,,04994710
,,,,,,,,,,,,,,,,,,,03333300
,,,,,,,,,,,,,,,,,,,07064953
,,,,,,,,,,,,,,,,,,,09816845
,,,,,,,,,,,,,,,,,,,SC491766
,,,,,,,,,,,,,,,,,,,01537169
,,,,,,,,,,,,,,,,,,,05643962
,,,,,,,,,,,,,,,,,,,09881288
,,,,,,,,,,,,,,,,,,,12099742
,,,,,,,,,,,,,,,,,,,04101455
,,,,,,,,,,,,,,,,,,,03713667
,,,,,,,,,,,,,,,,,,,06621854
,,,,,,,,,,,,,,,,,,,10812398
,,,,,,,,,,,,,,,,,,,13095115
,,,,,,,,,,,,,,,,,,,03310108
,,,,,,,,,,,,,,,,,,,03380944
,,,,,,,,,,,,,,,,,,,05678130
,,,,,,,,,,,,,,,,,,,05669656
,,,,,,,,,,,,,,,,,,,10983947
