Associated Business - Associated Business Insolvency,Associated Business - HM Court Data,Associated Business - Charges on other businesses,Business - Director resignations,Business - Accounts Overdue,Business - Incorporation Date,Business - Adverse SIC Code,Director - Director bankruptcy,Director - Director disqualifications,Director - Director country of residence,Director - Director nationality,Director - Director average age,Director - Director Personal Insolvency,Psc - UBO nationality,Psc - UBO is overseas company?,Psc - Recent ownership changes,Financials - Negative Audit report,Financials - Negative Balance Sheet,Financials - Estimated Losses,Financials - Substantial Debts
05129606,,07461408,,,,,06924063,,,,,06846982,,,,,04795287,,09254621
05208653,,08953716,,,,,06834588,,,,,07066690,,,,,04609563,,08993157
05138340,,02925827,,,,,07587198,,,,,07178603,,,,,04717052,,12269209
05308714,,13216176,,,,,07995370,,,,,06925697,,,,,04625880,,03042752
05760284,,00720550,,,,,08062998,,,,,07109106,,,,,04913913,,11772932
05794794,,08154374,,,,,08201481,,,,,06643885,,,,,04601624,,08673761
05867605,,08570352,,,,,07542692,,,,,07166642,,,,,04683984,,06794032
05571908,,08581347,,,,,07636512,,,,,06684647,,,,,04720506,,07061575
05694248,,SC298317,,,,,08253801,,,,,06654606,,,,,04592657,,09975808
05687748,,06811491,,,,,07420834,,,,,07129740,,,,,04791004,,03427411
05844350,,03229690,,,,,08039079,,,,,06953791,,,,,04686904,,05028538
05521344,,06387168,,,,,07677286,,,,,07130140,,,,,04640102,,11523540
05580831,,04684573,,,,,07851652,,,,,06825291,,,,,05288308,,09807640
05943435,,13140714,,,,,07693958,,,,,06924063,,,,,04918005,,08494749
05893596,,05190563,,,,,07379060,,,,,06834588,,,,,05189798,,03701659
05828597,,03980437,,,,,07846546,,,,,07587198,,,,,05213235,,04296589
05848604,,02070569,,,,,07396728,,,,,07995370,,,,,05087226,,09061270
05511899,,04807554,,,,,07215629,,,,,08062998,,,,,05054938,,10050978
05555951,,02021223,,,,,07941888,,,,,08201481,,,,,05251452,,04794437
05726341,,02253599,,,,,07698586,,,,,07542692,,,,,05262030,,03589056
05479494,,05968129,,,,,08080146,,,,,07636512,,,,,05208653,,09989134
05603868,,06458234,,,,,07227999,,,,,08253801,,,,,05082525,,02567536
05698647,,03275605,,,,,07836046,,,,,07420834,,,,,05138340,,SC471396
05949544,,03355591,,,,,07562551,,,,,08039079,,,,,05549629,,04344068
06254586,,12269209,,,,,07980124,,,,,07677286,,,,,05352288,,04540449
06456223,,03042752,,,,,07928622,,,,,07851652,,,,,05734108,,08603189
06581917,,07061575,,,,,08167139,,,,,07693958,,,,,05722148,,07280877
06005446,,03427411,,,,,08788911,,,,,07379060,,,,,05571908,,09444124
05980241,,05028538,,,,,09432767,,,,,07846546,,,,,05687748,,11523346
06048694,,09807640,,,,,08885653,,,,,07396728,,,,,05825940,,05386932
06557850,,02812527,,,,,09807227,,,,,07215629,,,,,05559765,,06036803
06137279,,04296589,,,,,08368639,,,,,07941888,,,,,05392792,,06501612
05998530,,09061270,,,,,09631045,,,,,07698586,,,,,05898794,,09441862
06305452,,04794437,,,,,09173316,,,,,08080146,,,,,05612725,,10617977
06077954,,02701224,,,,,09444429,,,,,07227999,,,,,05914963,,SC274565
06484690,,03589056,,,,,08262748,,,,,07836046,,,,,05943435,,10035511
06352846,,02567536,,,,,09282180,,,,,07562551,,,,,05600216,,09532125
06278415,,09515583,,,,,08906357,,,,,07980124,,,,,05684760,,02151436
06064546,,04540449,,,,,08703656,,,,,07928622,,,,,05377873,,06509655
06502371,,07280877,,,,,09559712,,,,,08167139,,,,,05493777,,09357128
06776815,,09444124,,,,,08867487,,,,,08788911,,,,,05913660,,09616437
06763736,,05386932,,,,,10226263,,,,,09432767,,,,,05479494,,04388844
06964423,,06036803,,,,,10349918,,,,,08885653,,,,,05698647,,06252451
07116748,,06501612,,,,,10867783,,,,,09807227,,,,,06505720,,11433002
06776385,,08363241,,,,,10385438,,,,,08368639,,,,,05970892,,03751742
06972482,,SC274565,,,,,11024548,,,,,09631045,,,,,06294034,,05123175
07158830,,06509655,,,,,10561683,,,,,09173316,,,,,06005446,,10490621
06846982,,09357128,,,,,10220888,,,,,09444429,,,,,06557850,,03066370
07144213,,09616437,,,,,11196377,,,,,08262748,,,,,06137279,,09712483
06978420,,04388844,,,,,11261848,,,,,09282180,,,,,06100850,,02100121
07090668,,11433002,,,,,09958550,,,,,08906357,,,,,06272388,,03879465
07068544,,03751742,,,,,11341619,,,,,08703656,,,,,05998530,,07936203
07178603,,11081150,,,,,11713464,,,,,09559712,,,,,06305452,,04449646
07118599,,03066370,,,,,10852900,,,,,08867487,,,,,06506615,,11708455
06925697,,09712483,,,,,11683244,,,,,10226263,,,,,06273193,,04596072
06732053,,02100121,,,,,11640665,,,,,10349918,,,,,06435165,,04515759
07109106,,04449646,,,,,10378257,,,,,10867783,,,,,06077954,,07306663
06684647,,04596072,,,,,10326049,,,,,10385438,,,,,06484690,,04820417
06856631,,04515759,,,,,09978532,,,,,11024548,,,,,06145018,,07858105
06801151,,04820417,,,,,10517011,,,,,10561683,,,,,06100679,,11762714
06679299,,07858105,,,,,11756687,,,,,10220888,,,,,06405269,,09907013
06654606,,09907013,,,,,11661760,,,,,11196377,,,,,06127731,,07990416
06704044,,05669976,,,,,12516033,,,,,11261848,,,,,06460432,,05669976
06719960,,03568389,,,,,13468013,,,,,09958550,,,,,07095855,,06038008
06953791,,07513842,,,,,11872641,,,,,11341619,,,,,06776815,,06739161
06971423,,07549953,,,,,12066149,,,,,11713464,,,,,06964423,,03568389
07130140,,03905983,,,,,12686532,,,,,10852900,,,,,06776385,,07513842
06825291,,03618073,,,,,12227437,,,,,11683244,,,,,07158830,,07549953
06924063,,02685392,,,,,12517031,,,,,11640665,,,,,07006260,,08712969
06701957,,07774345,,,,,OC330903,,,,,10378257,,,,,06846982,,03905983
06836408,,04731667,,,,,12330694,,,,,10326049,,,,,07090668,,05717893
07587198,,09665503,,,,,12495880,,,,,09978532,,,,,07068544,,07514654
07995370,,10318812,,,,,12305534,,,,,10517011,,,,,06732053,,08793226
08062998,,01763975,,,,,12092628,,,,,11756687,,,,,06739582,,03618073
08201481,,07437573,,,,,12554872,,,,,11661760,,,,,07039876,,07594902
07542692,,06842805,,,,,SC238500,,,,,12516033,,,,,06856148,,02685392
07636512,,02744972,,,,,SC206271,,,,,13468013,,,,,06856631,,07774345
07231750,,08617659,,,,,SC187364,,,,,11872641,,,,,06641917,,05887710
08240557,,08403630,,,,,SC385007,,,,,12066149,,,,,06645891,,04731667
07183229,,09535478,,,,,SC276955,,,,,12686532,,,,,06719960,,05270467
07522415,,10458628,,,,,SC237510,,,,,12227437,,,,,06971423,,09665503
07420834,,09976260,,,,,SC265632,,,,,12517031,,,,,06825291,,10318812
07851652,,11494665,,,,,SC299694,,,,,OC330903,,,,,06958987,,01763975
07366723,,04906916,,,,,SC537245,,,,,12330694,,,,,07002691,,07437573
07985144,,11259141,,,,,SC106673,,,,,12495880,,,,,06836408,,06842805
07681202,,09549192,,,,,SC280783,,,,,12305534,,,,,07356683,,08403630
07379060,,03889301,,,,,SC351531,,,,,12092628,,,,,07914698,,08523197
07514201,,04773281,,,,,SC190438,,,,,12554872,,,,,07587198,,09535478
07396728,,07903526,,,,,SC253590,,,,,SC238500,,,,,07995370,,10458628
07215629,,03472193,,,,,SC158183,,,,,SC206271,,,,,08018505,,09976260
07941888,,11866314,,,,,SC237621,,,,,SC187364,,,,,07542692,,08610130
08238387,,06488775,,,,,SC459118,,,,,SC385007,,,,,07231750,,11494665
07698586,,13258893,,,,,SC454820,,,,,SC259260,,,,,08253801,,09549192
08080146,,00743785,,,,,SC501552,,,,,SC276955,,,,,08240557,,03889301
07227999,,06417011,,,,,SC415244,,,,,SC237510,,,,,08039079,,09450202
07836046,,SC397025,,,,,SC504891,,,,,SC265632,,,,,07677286,,SC496701
07624858,,05025597,,,,,SC660388,,,,,SC299694,,,,,07851652,,07696446
07927105,,05527259,,,,,SC655479,,,,,SC537245,,,,,07899590,,06436359
07562551,,05711714,,,,,SC584400,,,,,SC106673,,,,,07849080,,04773281
07870190,,05073658,,,,,03151774,,,,,SC280783,,,,,07455784,,04657120
07705213,,11368539,,,,,10493154,,,,,SC351531,,,,,07367706,,11875711
07928622,,11764597,,,,,08348510,,,,,SC190438,,,,,07366723,,10147712
07594378,,11121299,,,,,12927101,,,,,SC253590,,,,,07846546,,09789267
07551638,,SC376227,,,,,11693207,,,,,SC158183,,,,,07805571,,07903526
07806618,,01648258,,,,,07665491,,,,,SC237621,,,,,07462323,,10027330
08788911,,04652720,,,,,09750509,,,,,SC459118,,,,,07258496,,03472193
08505046,,04316674,,,,,10683955,,,,,SC454820,,,,,07215629,,05332457
08526639,,04496049,,,,,06396511,,,,,SC501552,,,,,07941888,,11866314
08304400,,07597986,,,,,09310907,,,,,SC415244,,,,,07290068,,07497637
09432767,,06917046,,,,,10586290,,,,,SC504891,,,,,08080146,,06512267
09762423,,05678565,,,,,NI625551,,,,,SC660388,,,,,07587702,,08468443
09411518,,01302828,,,,,07503904,,,,,SC655479,,,,,07624858,,07926917
09399873,,04636181,,,,,11904459,,,,,SC584400,,,,,07179137,,00743785
09185187,,SC290577,,,,,11806110,,,,,03151774,,,,,07927105,,06417011
09481978,,09435636,,,,,,,,,,10493154,,,,,07653454,,10675410
09285991,,01497440,,,,,,,,,,08348510,,,,,07705213,,SC451141
08885653,,02470445,,,,,,,,,,12927101,,,,,07562209,,SC397025
08702445,,04402081,,,,,,,,,,11693207,,,,,07551638,,05588272
09807227,,SC253917,,,,,,,,,,07665491,,,,,08588242,,SC470823
09803594,,05097228,,,,,,,,,,07726951,,,,,09762423,,07228910
09631045,,12313590,,,,,,,,,,09750509,,,,,09411518,,05025597
09344295,,02650024,,,,,,,,,,10683955,,,,,09399873,,05527259
08723865,,03793935,,,,,,,,,,06396511,,,,,09481978,,13608293
09724307,,09174658,,,,,,,,,,09310907,,,,,09034203,,05711714
08257790,,11840658,,,,,,,,,,10586290,,,,,09344295,,05073658
08906357,,04982192,,,,,,,,,,NI625551,,,,,08262748,,11368539
08387749,,01334874,,,,,,,,,,07503904,,,,,08257790,,11121299
08703656,,08539362,,,,,,,,,,11904459,,,,,09282180,,SC376227
09203605,,04945822,,,,,,,,,,11806110,,,,,08287203,,07158636
08867487,,10671269,,,,,,,,,,,,,,,08481864,,01648258
09869982,,09204888,,,,,,,,,,,,,,,08703656,,07518170
11209946,,09724585,,,,,,,,,,,,,,,09203605,,04393618
10226263,,07349702,,,,,,,,,,,,,,,10812354,,04652720
09975840,,04116888,,,,,,,,,,,,,,,11056449,,04316674
10812354,,11275678,,,,,,,,,,,,,,,10349918,,04496049
11056449,,07561658,,,,,,,,,,,,,,,10830595,,06917046
10349918,,12633752,,,,,,,,,,,,,,,11025360,,05678565
09847297,,09339603,,,,,,,,,,,,,,,11428415,,03727685
10867783,,11197352,,,,,,,,,,,,,,,10245422,,11716720
11025360,,03998500,,,,,,,,,,,,,,,10220888,,07953858
11428415,,04968972,,,,,,,,,,,,,,,10021288,,09839572
10245422,,08182742,,,,,,,,,,,,,,,10083650,,SC290577
11017012,,01753477,,,,,,,,,,,,,,,09958550,,09435636
11024548,,07929432,,,,,,,,,,,,,,,11092385,,06580766
10561683,,03263484,,,,,,,,,,,,,,,10811101,,07949125
10220888,,11861222,,,,,,,,,,,,,,,10852900,,08917485
11196377,,12162218,,,,,,,,,,,,,,,11683244,,01497440
10946579,,09807683,,,,,,,,,,,,,,,10378257,,06746813
10955739,,00534664,,,,,,,,,,,,,,,10441689,,09989415
09958550,,08045625,,,,,,,,,,,,,,,OC329589,,11616300
11091061,,12363471,,,,,,,,,,,,,,,12185457,,04668427
10953910,,04411844,,,,,,,,,,,,,,,12194167,,06251949
11092385,,06172864,,,,,,,,,,,,,,,12577277,,02470445
11341619,,01923809,,,,,,,,,,,,,,,OC335066,,08526128
11713464,,OC374035,,,,,,,,,,,,,,,OC330903,,04402081
11683244,,09493055,,,,,,,,,,,,,,,12241552,,08597161
10378257,,05083534,,,,,,,,,,,,,,,12330694,,07834493
10665557,,03212874,,,,,,,,,,,,,,,12226672,,SC230078
10326049,,03461184,,,,,,,,,,,,,,,13484664,,SC253917
11439734,,06480668,,,,,,,,,,,,,,,13484722,,05097228
10250375,,07445043,,,,,,,,,,,,,,,SC009731,,10630853
10817824,,11445418,,,,,,,,,,,,,,,SC187364,,SC260507
10517011,,05404276,,,,,,,,,,,,,,,SC495661,,12313590
11756687,,13017839,,,,,,,,,,,,,,,SC276955,,02650024
10528519,,04767792,,,,,,,,,,,,,,,SC237510,,08383845
09914320,,06349620,,,,,,,,,,,,,,,SC181695,,06665490
10441689,,01852555,,,,,,,,,,,,,,,SC317803,,11877533
11661760,,05084990,,,,,,,,,,,,,,,SC582327,,05745999
12207204,,06627075,,,,,,,,,,,,,,,SC237621,,09174658
13468013,,13235262,,,,,,,,,,,,,,,SC454820,,09858616
12686532,,08514620,,,,,,,,,,,,,,,SC501552,,11814377
11933925,,10582216,,,,,,,,,,,,,,,SC094536,,11840658
12310446,,05806135,,,,,,,,,,,,,,,SC415244,,04982192
12579117,,09143932,,,,,,,,,,,,,,,SC584400,,01334874
13792886,,11639400,,,,,,,,,,,,,,,11332893,,08539362
11798006,,08295788,,,,,,,,,,,,,,,02364681,,04945822
11882315,,07051076,,,,,,,,,,,,,,,10297334,,11946796
12491351,,07867243,,,,,,,,,,,,,,,07354629,,07586095
OC329994,,09987937,,,,,,,,,,,,,,,07772542,,10671269
12185457,,10910246,,,,,,,,,,,,,,,08792230,,06400427
12020479,,12303806,,,,,,,,,,,,,,,09733526,,10425385
12194167,,08371136,,,,,,,,,,,,,,,11684817,,07349702
12227437,,03667197,,,,,,,,,,,,,,,10285424,,04116888
12517031,,03863287,,,,,,,,,,,,,,,09746308,,11275678
12793760,,04320285,,,,,,,,,,,,,,,03805733,,07561658
12113395,,06155717,,,,,,,,,,,,,,,09629183,,07929432
OC330903,,08963185,,,,,,,,,,,,,,,07609342,,03263484
12241552,,10439913,,,,,,,,,,,,,,,05256769,,11861222
12330694,,02735241,,,,,,,,,,,,,,,04625172,,09807683
13214888,,09687217,,,,,,,,,,,,,,,09888939,,08045625
12226672,,05161195,,,,,,,,,,,,,,,05644094,,04411844
13299180,,07122242,,,,,,,,,,,,,,,03028064,,06884796
12454736,,10691874,,,,,,,,,,,,,,,NI620666,,06172864
13099990,,10225889,,,,,,,,,,,,,,,07665491,,01923809
11838630,,04165672,,,,,,,,,,,,,,,11530374,,09493055
13236462,,05667921,,,,,,,,,,,,,,,10933230,,05083534
12554872,,03385057,,,,,,,,,,,,,,,10576661,,03212874
SC009731,,05573091,,,,,,,,,,,,,,,07418905,,03461184
13167748,,04671884,,,,,,,,,,,,,,,07617290,,06480668
SC391265,,09241537,,,,,,,,,,,,,,,07536589,,07445043
SC187364,,06796308,,,,,,,,,,,,,,,06396511,,11445418
SC495661,,04580487,,,,,,,,,,,,,,,10976513,,05404276
SC411306,,06040339,,,,,,,,,,,,,,,10586290,,13017839
SC265632,,08651173,,,,,,,,,,,,,,,NI625551,,04767792
SC086301,,08824373,,,,,,,,,,,,,,,07503904,,06349620
SC407490,,03139999,,,,,,,,,,,,,,,07912073,,01852555
SC280783,,05307766,,,,,,,,,,,,,,,,,05084990
SC277435,,02871135,,,,,,,,,,,,,,,,,06627075
SC351531,,12073413,,,,,,,,,,,,,,,,,08514620
SC574801,,06571517,,,,,,,,,,,,,,,,,10582216
SC537145,,07625056,,,,,,,,,,,,,,,,,05806135
SC559345,,08537832,,,,,,,,,,,,,,,,,09143932
SC158183,,07787211,,,,,,,,,,,,,,,,,11639400
SC237621,,07898363,,,,,,,,,,,,,,,,,08295788
SC368902,,08956031,,,,,,,,,,,,,,,,,07051076
SC231664,,09276976,,,,,,,,,,,,,,,,,07867243
SC501552,,10028282,,,,,,,,,,,,,,,,,09987937
SC094536,,11795383,,,,,,,,,,,,,,,,,10910246
SC415244,,12020920,,,,,,,,,,,,,,,,,12303806
SC504891,,11493281,,,,,,,,,,,,,,,,,03667197
10225502,,06435295,,,,,,,,,,,,,,,,,06155717
10297334,,08077912,,,,,,,,,,,,,,,,,08963185
06653664,,07743047,,,,,,,,,,,,,,,,,02735241
10510843,,10596426,,,,,,,,,,,,,,,,,07122242
10266068,,09651927,,,,,,,,,,,,,,,,,02234634
08348510,,11689654,,,,,,,,,,,,,,,,,04165672
08792230,,10077819,,,,,,,,,,,,,,,,,03385057
08977239,,07400506,,,,,,,,,,,,,,,,,05573091
10286123,,09672716,,,,,,,,,,,,,,,,,04671884
09629183,,SC444316,,,,,,,,,,,,,,,,,06796308
04663375,,11180371,,,,,,,,,,,,,,,,,08651173
07609342,,09994806,,,,,,,,,,,,,,,,,08824373
07433422,,SC430051,,,,,,,,,,,,,,,,,05307766
09862731,,06818120,,,,,,,,,,,,,,,,,07625056
07403006,,04544711,,,,,,,,,,,,,,,,,08537832
11693207,,08619517,,,,,,,,,,,,,,,,,07787211
09606717,,04140658,,,,,,,,,,,,,,,,,08439956
06896701,,09127201,,,,,,,,,,,,,,,,,08956031
05068917,,10677382,,,,,,,,,,,,,,,,,09276976
03028064,,02812042,,,,,,,,,,,,,,,,,10028282
NI620666,,06005669,,,,,,,,,,,,,,,,,11795383
07665491,,02437438,,,,,,,,,,,,,,,,,06456347
11146734,,08393030,,,,,,,,,,,,,,,,,11493281
03881576,,10282563,,,,,,,,,,,,,,,,,06435295
09340285,,10660202,,,,,,,,,,,,,,,,,07743047
SC597624,,07826234,,,,,,,,,,,,,,,,,10077819
08336842,,10669703,,,,,,,,,,,,,,,,,07400506
10683955,,08612826,,,,,,,,,,,,,,,,,09672716
07617290,,08598777,,,,,,,,,,,,,,,,,SC444316
07536589,,08929860,,,,,,,,,,,,,,,,,11254234
10976513,,07122464,,,,,,,,,,,,,,,,,SC430051
02538905,,04835602,,,,,,,,,,,,,,,,,08462263
10586290,,10123429,,,,,,,,,,,,,,,,,06818120
NI625551,,05282683,,,,,,,,,,,,,,,,,03478255
07503904,,11872349,,,,,,,,,,,,,,,,,04544711
07887054,,08142803,,,,,,,,,,,,,,,,,04140658
11904459,,11282709,,,,,,,,,,,,,,,,,09127201
07812559,,02709726,,,,,,,,,,,,,,,,,10677382
,,09402657,,,,,,,,,,,,,,,,,02812042
,,12113368,,,,,,,,,,,,,,,,,06005669
,,05055354,,,,,,,,,,,,,,,,,02437438
,,05810874,,,,,,,,,,,,,,,,,08393030
,,11028247,,,,,,,,,,,,,,,,,10660202
,,09188809,,,,,,,,,,,,,,,,,07826234
,,08020950,,,,,,,,,,,,,,,,,08612826
,,10816266,,,,,,,,,,,,,,,,,08598777
,,04562875,,,,,,,,,,,,,,,,,08929860
,,10482505,,,,,,,,,,,,,,,,,07122464
,,12011173,,,,,,,,,,,,,,,,,04835602
,,09951969,,,,,,,,,,,,,,,,,10123429
,,10614111,,,,,,,,,,,,,,,,,05282683
,,09225484,,,,,,,,,,,,,,,,,11872349
,,02668691,,,,,,,,,,,,,,,,,06885071
,,07625388,,,,,,,,,,,,,,,,,02709726
,,07704677,,,,,,,,,,,,,,,,,10810248
,,08955804,,,,,,,,,,,,,,,,,09402657
,,11090537,,,,,,,,,,,,,,,,,12113368
,,08103755,,,,,,,,,,,,,,,,,05810874
,,08801928,,,,,,,,,,,,,,,,,09188809
,,09925573,,,,,,,,,,,,,,,,,08020950
,,08239487,,,,,,,,,,,,,,,,,10816266
,,07847206,,,,,,,,,,,,,,,,,04562875
,,03885366,,,,,,,,,,,,,,,,,10122945
,,07074963,,,,,,,,,,,,,,,,,09225484
,,07986288,,,,,,,,,,,,,,,,,02668691
,,04548847,,,,,,,,,,,,,,,,,07704677
,,01312434,,,,,,,,,,,,,,,,,09925573
,,06993580,,,,,,,,,,,,,,,,,10591408
,,NI609734,,,,,,,,,,,,,,,,,08239487
,,SC602543,,,,,,,,,,,,,,,,,07847206
,,02975238,,,,,,,,,,,,,,,,,07836847
,,06963991,,,,,,,,,,,,,,,,,03885366
,,SC358376,,,,,,,,,,,,,,,,,11036001
,,10296714,,,,,,,,,,,,,,,,,07074963
,,07966955,,,,,,,,,,,,,,,,,10377831
,,10654253,,,,,,,,,,,,,,,,,07986288
,,04435862,,,,,,,,,,,,,,,,,04548847
,,07460765,,,,,,,,,,,,,,,,,06993580
,,07525610,,,,,,,,,,,,,,,,,SC602543
,,10887274,,,,,,,,,,,,,,,,,08852753
,,03555253,,,,,,,,,,,,,,,,,09115925
,,04436765,,,,,,,,,,,,,,,,,11252532
,,07075877,,,,,,,,,,,,,,,,,06449928
,,02908219,,,,,,,,,,,,,,,,,05738289
,,NI054920,,,,,,,,,,,,,,,,,09295174
,,11227397,,,,,,,,,,,,,,,,,SC358376
,,04347416,,,,,,,,,,,,,,,,,10557738
,,07973145,,,,,,,,,,,,,,,,,09652845
,,07173979,,,,,,,,,,,,,,,,,10296714
,,08326961,,,,,,,,,,,,,,,,,09486869
,,10190328,,,,,,,,,,,,,,,,,04435862
,,06056699,,,,,,,,,,,,,,,,,07976327
,,12883473,,,,,,,,,,,,,,,,,10244242
,,02884753,,,,,,,,,,,,,,,,,07460765
,,04558739,,,,,,,,,,,,,,,,,SC522869
,,04515818,,,,,,,,,,,,,,,,,09735749
,,03317922,,,,,,,,,,,,,,,,,04148488
,,01348877,,,,,,,,,,,,,,,,,05493633
,,09563220,,,,,,,,,,,,,,,,,11038170
,,08079818,,,,,,,,,,,,,,,,,06852373
,,11571743,,,,,,,,,,,,,,,,,03555253
,,09160560,,,,,,,,,,,,,,,,,11472677
,,04649992,,,,,,,,,,,,,,,,,09500172
,,06785355,,,,,,,,,,,,,,,,,07980379
,,07703760,,,,,,,,,,,,,,,,,08198331
,,00684463,,,,,,,,,,,,,,,,,04436765
,,08056916,,,,,,,,,,,,,,,,,07075877
,,11545397,,,,,,,,,,,,,,,,,11557486
,,05450093,,,,,,,,,,,,,,,,,NI054920
,,02305889,,,,,,,,,,,,,,,,,06561650
,,04994571,,,,,,,,,,,,,,,,,04347416
,,05386109,,,,,,,,,,,,,,,,,07173979
,,SC052203,,,,,,,,,,,,,,,,,08326961
,,NI012184,,,,,,,,,,,,,,,,,11376023
,,00939789,,,,,,,,,,,,,,,,,06056699
,,05321231,,,,,,,,,,,,,,,,,02884753
,,02122973,,,,,,,,,,,,,,,,,04515818
,,09455540,,,,,,,,,,,,,,,,,03317922
,,01306816,,,,,,,,,,,,,,,,,08079818
,,04224327,,,,,,,,,,,,,,,,,08056916
,,03125172,,,,,,,,,,,,,,,,,05450093
,,08928117,,,,,,,,,,,,,,,,,05386109
,,00360234,,,,,,,,,,,,,,,,,SC052203
,,01548414,,,,,,,,,,,,,,,,,09455540
,,03519207,,,,,,,,,,,,,,,,,04764498
,,02334147,,,,,,,,,,,,,,,,,07975798
,,09958597,,,,,,,,,,,,,,,,,SC572537
,,06959176,,,,,,,,,,,,,,,,,09958597
,,04158516,,,,,,,,,,,,,,,,,06685049
,,11774323,,,,,,,,,,,,,,,,,06959176
,,05733564,,,,,,,,,,,,,,,,,04158516
,,03110417,,,,,,,,,,,,,,,,,05915713
,,01638982,,,,,,,,,,,,,,,,,01638982
,,13487313,,,,,,,,,,,,,,,,,09143393
,,09143393,,,,,,,,,,,,,,,,,08057650
,,02917488,,,,,,,,,,,,,,,,,NI012712
,,08057650,,,,,,,,,,,,,,,,,11151005
,,NI012712,,,,,,,,,,,,,,,,,08614629
,,05119181,,,,,,,,,,,,,,,,,09613330
,,04704074,,,,,,,,,,,,,,,,,07946186
,,05680884,,,,,,,,,,,,,,,,,09198914
,,04720476,,,,,,,,,,,,,,,,,SC523846
,,12572946,,,,,,,,,,,,,,,,,08914384
,,12445826,,,,,,,,,,,,,,,,,06125114
,,09198914,,,,,,,,,,,,,,,,,05721189
,,08058102,,,,,,,,,,,,,,,,,05015411
,,SC523846,,,,,,,,,,,,,,,,,02685331
,,11494967,,,,,,,,,,,,,,,,,02702124
,,10641476,,,,,,,,,,,,,,,,,11138788
,,06125514,,,,,,,,,,,,,,,,,08407103
,,08914384,,,,,,,,,,,,,,,,,10732693
,,06821796,,,,,,,,,,,,,,,,,07811055
,,01567398,,,,,,,,,,,,,,,,,07670133
,,05721189,,,,,,,,,,,,,,,,,SC483561
,,05015411,,,,,,,,,,,,,,,,,00857795
,,02685331,,,,,,,,,,,,,,,,,00346134
,,02702124,,,,,,,,,,,,,,,,,00250773
,,11138788,,,,,,,,,,,,,,,,,00495404
,,08407103,,,,,,,,,,,,,,,,,00971894
,,10732693,,,,,,,,,,,,,,,,,01446345
,,03048403,,,,,,,,,,,,,,,,,01299230
,,07811055,,,,,,,,,,,,,,,,,01093242
,,01276545,,,,,,,,,,,,,,,,,00950647
,,04391659,,,,,,,,,,,,,,,,,01333906
,,SC097279,,,,,,,,,,,,,,,,,01189115
,,SC483561,,,,,,,,,,,,,,,,,00420909
,,00447952,,,,,,,,,,,,,,,,,00897550
,,01093935,,,,,,,,,,,,,,,,,01300558
,,00416089,,,,,,,,,,,,,,,,,00923921
,,01498182,,,,,,,,,,,,,,,,,01525895
,,00071382,,,,,,,,,,,,,,,,,02383452
,,00547176,,,,,,,,,,,,,,,,,01600597
,,00875873,,,,,,,,,,,,,,,,,01662295
,,00227202,,,,,,,,,,,,,,,,,01931093
,,00857795,,,,,,,,,,,,,,,,,02324980
,,01373139,,,,,,,,,,,,,,,,,01836824
,,00346134,,,,,,,,,,,,,,,,,02221362
,,01455312,,,,,,,,,,,,,,,,,02213734
,,00250773,,,,,,,,,,,,,,,,,01750045
,,00624228,,,,,,,,,,,,,,,,,01651167
,,01252395,,,,,,,,,,,,,,,,,02091066
,,00495404,,,,,,,,,,,,,,,,,01824788
,,00502663,,,,,,,,,,,,,,,,,01639465
,,01146067,,,,,,,,,,,,,,,,,02248449
,,00971894,,,,,,,,,,,,,,,,,01554709
,,01525162,,,,,,,,,,,,,,,,,02155638
,,01446345,,,,,,,,,,,,,,,,,01597335
,,01299230,,,,,,,,,,,,,,,,,01640897
,,00505847,,,,,,,,,,,,,,,,,02413935
,,01459141,,,,,,,,,,,,,,,,,02702613
,,01451585,,,,,,,,,,,,,,,,,02894351
,,01093242,,,,,,,,,,,,,,,,,02823720
,,00950647,,,,,,,,,,,,,,,,,02821689
,,01334681,,,,,,,,,,,,,,,,,02768725
,,01333906,,,,,,,,,,,,,,,,,02719511
,,01442187,,,,,,,,,,,,,,,,,02756926
,,01442485,,,,,,,,,,,,,,,,,02877927
,,01189115,,,,,,,,,,,,,,,,,02620287
,,00574639,,,,,,,,,,,,,,,,,02678057
,,01416087,,,,,,,,,,,,,,,,,02591791
,,00560985,,,,,,,,,,,,,,,,,03102495
,,00420909,,,,,,,,,,,,,,,,,03004971
,,01067101,,,,,,,,,,,,,,,,,02973718
,,00897550,,,,,,,,,,,,,,,,,03026636
,,00043694,,,,,,,,,,,,,,,,,03047011
,,01031235,,,,,,,,,,,,,,,,,02912741
,,01300558,,,,,,,,,,,,,,,,,03350463
,,01342411,,,,,,,,,,,,,,,,,03164605
,,00764976,,,,,,,,,,,,,,,,,03127428
,,00316979,,,,,,,,,,,,,,,,,03647001
,,00804767,,,,,,,,,,,,,,,,,03365493
,,01101649,,,,,,,,,,,,,,,,,03452166
,,00923921,,,,,,,,,,,,,,,,,03326711
,,01525895,,,,,,,,,,,,,,,,,03357623
,,02383452,,,,,,,,,,,,,,,,,03666296
,,01742443,,,,,,,,,,,,,,,,,03490622
,,02003539,,,,,,,,,,,,,,,,,03632235
,,01600597,,,,,,,,,,,,,,,,,03322489
,,01662295,,,,,,,,,,,,,,,,,03263871
,,01931093,,,,,,,,,,,,,,,,,03595593
,,01985419,,,,,,,,,,,,,,,,,03290562
,,02370500,,,,,,,,,,,,,,,,,03165128
